이름,국어,영어,수학,과학
학생2446,72,6,73,22
학생2447,29,93,2,85
학생2448,,56,64,24
학생2449,98,,88,64
학생2450,88,90,62,72
학생2451,92,70,,
학생2452,63,60,31,70
학생2453,21,50,,88
학생2454,98,,88,64
학생2455,88,90,62,72
학생2456,92,70,,
학생2457,63,60,31,70
학생2458,54,50,,88
학생2459,64,3,73,83
학생2460,78,58,20,47
학생2461,13,82,57,1
학생2462,4,11,81,76
학생2463,3,25,26,67
학생2464,96,78,1,6
학생2465,78,31,70,91
학생2466,4,63,59,23
학생2467,29,67,49,28
학생2468,93,56,63,55
학생2469,57,65,12,47
학생2470,20,74,56,17
학생2471,6,61,0,20
학생2472,3,11,83,45
학생2473,4,82,88,69
학생2474,62,5,92,67
학생2475,4,12,73,73
학생2476,84,58,70,25
학생2477,96,95,10,4
학생2478,83,7,64,9
학생2479,67,38,63,26
학생2480,50,72,14,86
학생2481,60,28,49,59
학생2482,71,11,49,62
학생2483,32,63,31,96
학생2484,72,6,73,22
학생2485,29,93,2,85
학생2486,,56,64,24
학생2487,98,,88,64
학생2488,88,90,62,72
학생2489,92,70,,
학생2490,63,60,31,70
학생2491,21,50,,88
학생2492,98,,88,64
학생2493,88,90,62,72
학생2494,92,70,,
학생2495,63,60,31,70
학생2496,54,50,,88
학생2497,64,3,73,83
학생2498,83,91,32,99
학생2499,5,55,11,65
학생2500,7,40,10,3
학생2501,55,46,74,35
학생2502,97,70,20,27
학생2503,92,61,42,88
학생2504,16,10,41,55
학생2505,47,33,64,65
학생2506,14,40,90,41
학생2507,3,74,48,49
학생2508,52,64,68,85
학생2509,26,87,93,36
학생2510,30,51,30,62
학생2511,72,44,80,13
학생2512,35,49,30,41
학생2513,52,60,1,14
학생2514,12,65,86,76
학생2515,79,21,11,41
학생2516,13,33,72,92
학생2517,57,68,33,33
학생2518,48,44,37,83
학생2519,66,88,81,66
학생2520,44,15,44,46
학생2521,99,2,96,90
학생2522,57,4,12,85
학생2523,4,77,57,83
학생2524,74,23,52,64
학생2525,84,58,70,25
학생2526,96,95,10,4
학생2527,83,7,64,9
학생2528,67,38,63,26
학생2529,50,72,14,86
학생2530,60,28,49,59
학생2531,71,11,49,62
학생2532,32,63,31,96
학생2533,72,6,73,22
학생2534,29,93,2,85
학생2535,,56,64,24
학생2536,98,,88,64
학생2537,88,90,62,72
학생2538,92,70,55,
학생2539,63,60,55,70
학생2540,21,50,55,88
학생2541,98,,88,64
학생2542,88,90,62,72
학생2543,92,70,75,85
학생2544,63,60,31,70
학생2545,54,50,23,88
학생2546,64,54,73,83
학생2547,89,36,63,14
학생2548,83,26,81,98
학생2549,18,51,17,6
학생2550,63,60,55,70
학생2551,21,50,55,88
학생2552,98,,88,64
학생2553,88,90,62,72
학생2554,92,70,75,85
학생2555,63,60,31,70
학생2556,54,50,23,88
학생2557,64,54,73,83
학생2558,89,36,63,14
학생2559,83,26,81,98
학생2560,18,51,17,6
학생2561,33,95,77,95
학생2562,86,34,31,18
학생2563,61,31,97,69
학생2564,79,87,93,86
학생2565,68,75,10,58
학생2566,36,59,90,54
학생2567,55,25,13,30
학생2568,63,60,55,70
학생2569,21,50,55,88
학생2570,98,,88,64
학생2571,88,90,62,72
학생2572,92,70,75,85
학생2573,63,60,31,70
학생2574,54,50,23,88
학생2575,64,54,73,83
학생2576,89,36,63,14
학생2577,83,26,81,98
학생2578,18,51,17,6
학생2579,73,89,73,78
학생2580,45,11,99,81
학생2581,88,10,87,7
학생2582,10,67,56,93
학생2583,97,82,93,67
학생2584,4,86,62,94
학생2585,72,47,72,89
학생2586,13,56,64,34
학생2587,46,56,39,24
학생2588,70,41,86,93
학생2589,20,88,73,46
학생2590,63,60,55,70
학생2591,21,50,55,88
학생2592,98,90,88,64
학생2593,88,90,62,72
학생2594,92,70,75,85
학생2595,63,60,31,70
학생2596,54,50,23,88
학생2597,64,54,73,83
학생2598,89,36,63,14
학생2599,83,26,81,98
학생2600,18,51,17,6
학생2601,74,85,95,70
학생2602,46,56,39,24
학생2603,70,41,86,93
학생2604,20,88,73,46
학생2605,63,60,55,70
학생2606,21,50,55,88
학생2607,98,90,88,64
학생2608,88,90,62,72
학생2609,92,70,75,85
학생2610,63,60,31,70
학생2611,54,50,23,88
학생2612,64,54,73,83
학생2613,89,36,63,14
학생2614,83,26,81,98
학생2615,18,51,17,6
학생2616,42,92,61,10
학생2617,46,56,39,24
학생2618,70,41,86,93
학생2619,20,88,73,46
학생2620,63,60,55,70
학생2621,21,50,55,88
학생2622,98,90,88,64
학생2623,88,90,62,72
학생2624,92,70,75,85
학생2625,63,60,31,70
학생2626,54,50,23,88
학생2627,64,54,73,83
학생2628,89,36,63,14
학생2629,83,26,81,98
학생2630,18,51,17,6
학생2631,62,69,84,80
학생2632,54,34,56,46
학생2633,40,67,26,96
학생2634,55,85,46,81
학생2635,35,53,86,12
학생2636,42,59,79,10
학생2637,20,83,28,69
학생2638,14,53,19,32
학생2639,77,75,75,98
학생2640,45,30,62,89
학생2641,69,47,71,90
학생2642,51,57,16,0
학생2643,28,69,8,6
학생2644,55,46,97,73
학생2645,52,79,44,16
학생2646,33,62,83,0
학생2647,79,12,53,43
학생2648,55,56,92,40
학생2649,46,56,39,24
학생2650,70,41,86,93
학생2651,20,88,73,46
학생2652,63,60,55,70
학생2653,21,50,55,88
학생2654,98,90,88,64
학생2655,88,90,62,72
학생2656,92,70,75,85
학생2657,63,60,31,70
학생2658,54,50,23,88
학생2659,64,54,73,83
학생2660,89,36,63,14
학생2661,83,26,81,98
학생2662,18,51,17,6
학생2663,46,56,39,24
학생2664,70,41,86,93
학생2665,20,88,73,46
학생2666,63,60,55,70
학생2667,21,50,55,88
학생2668,98,90,88,64
학생2669,88,90,62,72
학생2670,92,70,75,85
학생2671,63,60,31,70
학생2672,54,50,23,88
학생2673,64,54,73,83
학생2674,89,36,63,14
학생2675,83,26,81,98
학생2676,18,51,17,6
학생2677,37,27,97,62
학생2678,70,20,63,0
학생2679,85,98,24,53
학생2680,94,77,76,99
학생2681,96,39,77,12
학생2682,46,56,39,24
학생2683,70,41,86,93
학생2684,20,88,73,46
학생2685,63,60,55,70
학생2686,21,50,55,88
학생2687,98,90,88,64
학생2688,88,90,62,72
학생2689,46,56,39,24
학생2690,70,41,86,93
학생2691,20,88,73,46
학생2692,63,60,55,70
학생2693,21,50,55,88
학생2694,98,90,88,64
학생2695,88,90,62,72
학생2696,92,70,75,85
학생2697,63,60,31,70
학생2698,54,50,23,88
학생2699,64,54,73,83
학생2700,89,36,63,14
학생2701,83,26,81,98
학생2702,18,51,17,6
학생2703,46,56,39,24
학생2704,70,41,86,93
학생2705,20,88,73,46
학생2706,63,60,55,70
학생2707,21,50,55,88
학생2708,98,90,88,64
학생2709,88,90,62,72
학생2710,92,70,75,85
학생2711,63,60,31,70
학생2712,54,50,23,88
학생2713,46,56,39,24
학생2714,70,41,86,93
학생2715,20,88,73,46
학생2716,63,60,55,70
학생2717,21,50,55,88
학생2718,98,90,88,64
학생2719,88,90,62,72
학생2720,46,56,39,24
학생2721,70,41,86,93
학생2722,20,88,73,46
학생2723,63,60,55,70
학생2724,21,50,55,88
학생2725,98,90,88,64
학생2726,88,90,62,72
학생2727,92,70,75,85
학생2728,63,60,31,70
학생2729,54,50,23,88
학생2730,64,54,73,83
학생2731,46,56,39,24
학생2732,70,41,86,93
학생2733,20,88,73,46
학생2734,63,60,55,70
학생2735,21,50,55,88
학생2736,98,90,88,64
학생2737,88,90,62,72
학생2738,92,70,75,85
학생2739,63,60,31,70
학생2740,54,50,23,88
학생2741,46,56,39,24
학생2742,70,41,86,93
학생2743,20,88,73,46
학생2744,46,56,39,24
학생2745,70,41,86,93
학생2746,46,56,39,24
학생2747,70,41,86,93
학생2748,20,88,73,46
학생2749,63,60,55,70
학생2750,21,50,55,88
학생2751,98,90,88,64
학생2752,88,90,62,72
학생2753,92,70,75,85
학생2754,63,60,31,70
학생2755,54,50,23,88
학생2756,64,54,73,83
학생2757,89,36,63,14
학생2758,83,26,81,98
학생2759,18,51,17,6
학생2760,85,37,23,49
학생2761,90,93,65,30
학생2762,71,83,15,11
학생2763,94,6,28,69
학생2764,85,88,60,17
학생2765,32,59,16,31
학생2766,59,64,40,72
학생2767,85,73,51,6
학생2768,20,36,26,73
학생2769,46,56,39,24
학생2770,70,41,86,93
학생2771,20,88,73,46
학생2772,63,60,55,70
학생2773,21,50,55,88
학생2774,98,90,88,64
학생2775,88,90,62,72
학생2776,92,70,75,85
학생2777,63,60,31,70
학생2778,54,50,23,88
학생2779,64,54,73,83
학생2780,89,36,63,14
학생2781,83,26,81,98
학생2782,18,51,17,6
학생2783,23,61,24,30
학생2784,53,60,20,39
학생2785,46,56,39,24
학생2786,70,41,86,93
학생2787,20,88,73,46
학생2788,63,60,55,70
학생2789,21,50,55,88
학생2790,98,90,88,64
학생2791,88,90,62,72
학생2792,92,70,75,85
학생2793,63,60,31,70
학생2794,54,50,23,88
학생2795,64,54,73,83
학생2796,89,36,63,14
학생2797,83,26,81,98
학생2798,18,51,17,6
학생2799,54,50,23,88
학생2800,64,54,73,83
학생2801,89,36,63,14
학생2802,83,26,81,98
학생2803,18,51,17,6
학생2804,71,84,33,34
학생2805,64,3,39,18
학생2806,46,43,49,2
학생2807,36,72,84,28
학생2808,83,57,67,33
학생2809,33,19,69,65
학생2810,46,56,39,24
학생2811,70,41,86,93
학생2812,20,88,73,46
학생2813,63,60,55,70
학생2814,21,50,55,88
학생2815,98,90,88,64
학생2816,88,90,62,72
학생2817,92,70,75,85
학생2818,63,60,31,70
학생2819,54,50,23,88
학생2820,64,54,73,83
학생2821,89,36,63,14
학생2822,83,26,81,98
학생2823,18,51,17,6
학생2824,46,56,39,24
학생2825,70,41,86,93
학생2826,20,88,73,46
학생2827,63,60,55,70
학생2828,21,50,55,88
학생2829,98,90,88,64
학생2830,88,90,62,72
학생2831,46,56,39,24
학생2832,70,41,86,93
학생2833,20,88,73,46
학생2834,63,60,55,70
학생2835,21,50,55,88
학생2836,98,90,88,64
학생2837,88,90,62,72
학생2838,92,70,75,85
학생2839,63,60,31,70
학생2840,54,50,23,88
학생2841,64,54,73,83
학생2842,89,36,63,14
학생2843,83,26,81,98
학생2844,18,51,17,6
학생2845,46,56,39,24
학생2846,70,41,86,93
학생2847,20,88,73,46
학생2848,63,60,55,70
학생2849,21,50,55,88
학생2850,98,90,88,64
학생2851,88,90,62,72
학생2852,92,70,75,85
학생2853,63,60,31,70
학생2854,54,50,23,88
학생2855,64,54,73,83
학생2856,89,36,63,14
학생2857,83,26,81,98
학생2858,18,51,17,6
학생2859,69,66,39,59
학생2860,25,19,37,45
학생2861,21,82,20,20
학생2862,7,11,57,74
학생2863,23,32,52,99
학생2864,97,87,30,66
학생2865,53,32,23,28
학생2866,14,45,73,30
학생2867,12,52,44,37
학생2868,46,56,39,24
학생2869,70,41,86,93
학생2870,20,88,73,46
학생2871,63,60,55,70
학생2872,21,50,55,88
학생2873,98,90,88,64
학생2874,88,90,62,72
학생2875,92,70,75,85
학생2876,63,60,31,70
학생2877,54,50,23,88
학생2878,64,54,73,83
학생2879,89,36,63,14
학생2880,83,26,81,98
학생2881,18,51,17,6
학생2882,75,38,94,50
학생2883,58,74,56,27
학생2884,52,86,55,51
학생2885,62,24,72,24
학생2886,71,21,21,89
학생2887,95,67,17,86
학생2888,62,71,88,95
학생2889,46,56,39,24
학생2890,70,41,86,93
학생2891,20,88,73,46
학생2892,63,60,55,70
학생2893,21,50,55,88
학생2894,98,90,88,64
학생2895,46,56,39,24
학생2896,70,41,86,93
학생2897,20,88,73,46
학생2898,63,60,55,70
학생2899,21,50,55,88
학생2900,98,90,88,64
학생2901,88,90,62,72
학생2902,92,70,75,85
학생2903,63,60,31,70
학생2904,54,50,23,88
학생2905,64,54,73,83
학생2906,89,36,63,14
학생2907,83,26,81,98
학생2908,18,51,17,6
학생2909,98,,88,64
학생2910,88,90,62,72
학생2911,92,70,,
학생2912,63,60,31,70
학생2913,100,50,,88
학생2914,98,,88,64
학생2915,88,90,62,72
학생2916,92,70,,
학생2917,63,60,31,70
학생2918,100,50,,88
학생2919,56,49,90,44
학생2920,34,28,16,0
학생2921,37,13,9,41
학생2922,14,17,21,77
학생2923,37,20,3,77
학생2924,19,97,28,77
학생2925,57,85,33,84
학생2926,10,21,67,54
학생2927,79,74,14,59
학생2928,96,67,66,48
학생2929,46,25,54,56
학생2930,66,32,77,24
학생2931,46,25,2,12
학생2932,26,10,49,74
학생2933,97,68,65,33
학생2934,86,70,99,45
학생2935,31,62,37,82
학생2936,43,88,11,56
학생2937,6,98,96,74
학생2938,41,75,8,22
학생2939,29,45,94,70
학생2940,83,84,32,91
학생2941,91,1,53,32
학생2942,89,59,10,29
학생2943,84,58,70,25
학생2944,96,95,10,4
학생2945,83,7,64,9
학생2946,67,38,63,26
학생2947,50,72,14,86
학생2948,60,28,49,59
학생2949,71,11,49,62
학생2950,32,63,31,96
학생2951,72,6,73,22
학생2952,29,93,2,85
학생2953,,56,64,24
학생2954,98,,88,64
학생2955,88,90,62,72
학생2956,92,70,,
학생2957,63,60,31,70
학생2958,21,50,,88
학생2959,98,,88,64
학생2960,88,90,62,72
학생2961,92,70,,
학생2962,63,60,31,70
학생2963,54,50,,88
학생2964,64,3,73,83
학생2965,78,58,20,47
학생2966,13,82,57,1
학생2967,4,11,81,76
학생2968,3,25,26,67
학생2969,96,78,1,6
학생2970,78,31,70,91
학생2971,4,63,59,23
학생2972,29,67,49,28
학생2973,93,56,63,55
학생2974,57,65,12,47
학생2975,20,74,56,17
학생2976,6,61,0,20
학생2977,3,11,83,45
학생2978,4,82,88,69
학생2979,62,5,92,67
학생2980,4,12,73,73
학생2981,84,58,70,25
학생2982,96,95,10,4
학생2983,83,7,64,9
학생2984,67,38,63,26
학생2985,50,72,14,86
학생2986,60,28,49,59
학생2987,71,11,49,62
학생2988,32,63,31,96
학생2989,72,6,73,22
학생2990,29,93,2,85
학생2991,,56,64,24
학생2992,98,,88,64
학생2993,88,90,62,72
학생2994,92,70,,
학생2995,63,60,31,70
학생2996,21,50,,88
학생2997,98,,88,64
학생2998,88,90,62,72
학생2999,92,70,,
학생3000,63,60,31,70
학생3001,54,50,,88
학생3002,64,3,73,83
학생3003,83,91,32,99
학생3004,5,55,11,65
학생3005,7,40,10,3
학생3006,55,46,74,35
학생3007,97,70,20,27
학생3008,92,61,42,88
학생3009,16,10,41,55
학생3010,47,33,64,65
학생3011,14,40,90,41
학생3012,3,74,48,49
학생3013,52,64,68,85
학생3014,26,87,93,36
학생3015,30,51,30,62
학생3016,72,44,80,13
학생3017,35,49,30,41
학생3018,52,60,1,14
학생3019,12,65,86,76
학생3020,79,21,11,41
학생3021,13,33,72,92
학생3022,57,68,33,33
학생3023,48,44,37,83
학생3024,66,88,81,66
학생3025,44,15,44,46
학생3026,99,2,96,90
학생3027,57,4,12,85
학생3028,4,77,57,83
학생3029,74,23,52,64
학생3030,84,58,70,25
학생3031,96,95,10,4
학생3032,83,7,64,9
학생3033,67,38,63,26
학생3034,50,72,14,86
학생3035,60,28,49,59
학생3036,71,11,49,62
학생3037,32,63,31,96
학생3038,72,6,73,22
학생3039,29,93,2,85
학생3040,,56,64,24
학생3041,98,,88,64
학생3042,88,90,62,72
학생3043,92,70,55,
학생3044,63,60,55,70
학생3045,21,50,55,88
학생3046,98,,88,64
학생3047,88,90,62,72
학생3048,92,70,75,85
학생3049,63,60,31,70
학생3050,54,50,23,88
학생3051,64,54,73,83
학생3052,89,36,63,14
학생3053,83,26,81,98
학생3054,18,51,17,6
학생3055,63,60,55,70
학생3056,21,50,55,88
학생3057,98,,88,64
학생3058,88,90,62,72
학생3059,92,70,75,85
학생3060,63,60,31,70
학생3061,54,50,23,88
학생3062,64,54,73,83
학생3063,89,36,63,14
학생3064,83,26,81,98
학생3065,18,51,17,6
학생3066,33,95,77,95
학생3067,86,34,31,18
학생3068,61,31,97,69
학생3069,79,87,93,86
학생3070,68,75,10,58
학생3071,36,59,90,54
학생3072,55,25,13,30
학생3073,63,60,55,70
학생3074,21,50,55,88
학생3075,98,,88,64
학생3076,88,90,62,72
학생3077,92,70,75,85
학생3078,63,60,31,70
학생3079,54,50,23,88
학생3080,64,54,73,83
학생3081,89,36,63,14
학생3082,83,26,81,98
학생3083,18,51,17,6
학생3084,73,89,73,78
학생3085,45,11,99,81
학생3086,88,10,87,7
학생3087,10,67,56,93
학생3088,97,82,93,67
학생3089,4,86,62,94
학생3090,72,47,72,89
학생3091,13,56,64,34
학생3092,46,56,39,24
학생3093,70,41,86,93
학생3094,20,88,73,46
학생3095,63,60,55,70
학생3096,21,50,55,88
학생3097,98,90,88,64
학생3098,88,90,62,72
학생3099,92,70,75,85
학생3100,63,60,31,70
학생3101,54,50,23,88
학생3102,64,54,73,83
학생3103,89,36,63,14
학생3104,83,26,81,98
학생3105,18,51,17,6
학생3106,74,85,95,70
학생3107,46,56,39,24
학생3108,70,41,86,93
학생3109,20,88,73,46
학생3110,63,60,55,70
학생3111,21,50,55,88
학생3112,98,90,88,64
학생3113,88,90,62,72
학생3114,92,70,75,85
학생3115,63,60,31,70
학생3116,54,50,23,88
학생3117,64,54,73,83
학생3118,89,36,63,14
학생3119,83,26,81,98
학생3120,18,51,17,6
학생3121,42,92,61,10
학생3122,46,56,39,24
학생3123,70,41,86,93
학생3124,20,88,73,46
학생3125,63,60,55,70
학생3126,21,50,55,88
학생3127,98,90,88,64
학생3128,88,90,62,72
학생3129,92,70,75,85
학생3130,63,60,31,70
학생3131,54,50,23,88
학생3132,64,54,73,83
학생3133,89,36,63,14
학생3134,83,26,81,98
학생3135,18,51,17,6
학생3136,62,69,84,80
학생3137,54,34,56,46
학생3138,40,67,26,96
학생3139,55,85,46,81
학생3140,35,53,86,12
학생3141,42,59,79,10
학생3142,20,83,28,69
학생3143,14,53,19,32
학생3144,77,75,75,98
학생3145,45,30,62,89
학생3146,69,47,71,90
학생3147,51,57,16,0
학생3148,28,69,8,6
학생3149,55,46,97,73
학생3150,52,79,44,16
학생3151,33,62,83,0
학생3152,79,12,53,43
학생3153,55,56,92,40
학생3154,46,56,39,24
학생3155,70,41,86,93
학생3156,20,88,73,46
학생3157,63,60,55,70
학생3158,21,50,55,88
학생3159,98,90,88,64
학생3160,88,90,62,72
학생3161,92,70,75,85
학생3162,63,60,31,70
학생3163,54,50,23,88
학생3164,64,54,73,83
학생3165,89,36,63,14
학생3166,83,26,81,98
학생3167,18,51,17,6
학생3168,46,56,39,24
학생3169,70,41,86,93
학생3170,20,88,73,46
학생3171,63,60,55,70
학생3172,21,50,55,88
학생3173,98,90,88,64
학생3174,88,90,62,72
학생3175,92,70,75,85
학생3176,63,60,31,70
학생3177,54,50,23,88
학생3178,64,54,73,83
학생3179,89,36,63,14
학생3180,83,26,81,98
학생3181,18,51,17,6
학생3182,37,27,97,62
학생3183,70,20,63,0
학생3184,85,98,24,53
학생3185,94,77,76,99
학생3186,96,39,77,12
학생3187,46,56,39,24
학생3188,70,41,86,93
학생3189,20,88,73,46
학생3190,63,60,55,70
학생3191,21,50,55,88
학생3192,98,90,88,64
학생3193,88,90,62,72
학생3194,46,56,39,24
학생3195,70,41,86,93
학생3196,20,88,73,46
학생3197,63,60,55,70
학생3198,21,50,55,88
학생3199,98,90,88,64
학생3200,88,90,62,72
학생3201,92,70,75,85
학생3202,63,60,31,70
학생3203,54,50,23,88
학생3204,64,54,73,83
학생3205,89,36,63,14
학생3206,83,26,81,98
학생3207,18,51,17,6
학생3208,46,56,39,24
학생3209,70,41,86,93
학생3210,20,88,73,46
학생3211,63,60,55,70
학생3212,21,50,55,88
학생3213,98,90,88,64
학생3214,88,90,62,72
학생3215,92,70,75,85
학생3216,63,60,31,70
학생3217,54,50,23,88
학생3218,46,56,39,24
학생3219,70,41,86,93
학생3220,20,88,73,46
학생3221,63,60,55,70
학생3222,21,50,55,88
학생3223,98,90,88,64
학생3224,88,90,62,72
학생3225,46,56,39,24
학생3226,70,41,86,93
학생3227,20,88,73,46
학생3228,63,60,55,70
학생3229,21,50,55,88
학생3230,98,90,88,64
학생3231,88,90,62,72
학생3232,92,70,75,85
학생3233,63,60,31,70
학생3234,54,50,23,88
학생3235,64,54,73,83
학생3236,46,56,39,24
학생3237,70,41,86,93
학생3238,20,88,73,46
학생3239,63,60,55,70
학생3240,21,50,55,88
학생3241,98,90,88,64
학생3242,88,90,62,72
학생3243,92,70,75,85
학생3244,63,60,31,70
학생3245,54,50,23,88
학생3246,46,56,39,24
학생3247,70,41,86,93
학생3248,20,88,73,46
학생3249,46,56,39,24
학생3250,70,41,86,93
학생3251,46,56,39,24
학생3252,70,41,86,93
학생3253,20,88,73,46
학생3254,63,60,55,70
학생3255,21,50,55,88
학생3256,98,90,88,64
학생3257,88,90,62,72
학생3258,92,70,75,85
학생3259,63,60,31,70
학생3260,54,50,23,88
학생3261,64,54,73,83
학생3262,89,36,63,14
학생3263,83,26,81,98
학생3264,18,51,17,6
학생3265,85,37,23,49
학생3266,90,93,65,30
학생3267,71,83,15,11
학생3268,94,6,28,69
학생3269,85,88,60,17
학생3270,32,59,16,31
학생3271,59,64,40,72
학생3272,85,73,51,6
학생3273,20,36,26,73
학생3274,46,56,39,24
학생3275,70,41,86,93
학생3276,20,88,73,46
학생3277,63,60,55,70
학생3278,21,50,55,88
학생3279,98,90,88,64
학생3280,88,90,62,72
학생3281,92,70,75,85
학생3282,63,60,31,70
학생3283,54,50,23,88
학생3284,64,54,73,83
학생3285,89,36,63,14
학생3286,83,26,81,98
학생3287,18,51,17,6
학생3288,23,61,24,30
학생3289,53,60,20,39
학생3290,46,56,39,24
학생3291,70,41,86,93
학생3292,20,88,73,46
학생3293,63,60,55,70
학생3294,21,50,55,88
학생3295,98,90,88,64
학생3296,88,90,62,72
학생3297,92,70,75,85
학생3298,63,60,31,70
학생3299,54,50,23,88
학생3300,64,54,73,83
학생3301,89,36,63,14
학생3302,83,26,81,98
학생3303,18,51,17,6
학생3304,54,50,23,88
학생3305,64,54,73,83
학생3306,89,36,63,14
학생3307,83,26,81,98
학생3308,18,51,17,6
학생3309,71,84,33,34
학생3310,64,3,39,18
학생3311,46,43,49,2
학생3312,36,72,84,28
학생3313,83,57,67,33
학생3314,33,19,69,65
학생3315,46,56,39,24
학생3316,70,41,86,93
학생3317,20,88,73,46
학생3318,63,60,55,70
학생3319,21,50,55,88
학생3320,98,90,88,64
학생3321,88,90,62,72
학생3322,92,70,75,85
학생3323,63,60,31,70
학생3324,54,50,23,88
학생3325,64,54,73,83
학생3326,89,36,63,14
학생3327,83,26,81,98
학생3328,18,51,17,6
학생3329,46,56,39,24
학생3330,70,41,86,93
학생3331,20,88,73,46
학생3332,63,60,55,70
학생3333,21,50,55,88
학생3334,98,90,88,64
학생3335,88,90,62,72
학생3336,46,56,39,24
학생3337,70,41,86,93
학생3338,20,88,73,46
학생3339,63,60,55,70
학생3340,21,50,55,88
학생3341,98,90,88,64
학생3342,88,90,62,72
학생3343,92,70,75,85
학생3344,63,60,31,70
학생3345,54,50,23,88
학생3346,64,54,73,83
학생3347,89,36,63,14
학생3348,83,26,81,98
학생3349,18,51,17,6
학생3350,46,56,39,24
학생3351,70,41,86,93
학생3352,20,88,73,46
학생3353,63,60,55,70
학생3354,21,50,55,88
학생3355,98,90,88,64
학생3356,88,90,62,72
학생3357,92,70,75,85
학생3358,63,60,31,70
학생3359,54,50,23,88
학생3360,64,54,73,83
학생3361,89,36,63,14
학생3362,83,26,81,98
학생3363,18,51,17,6
학생3364,69,66,39,59
학생3365,25,19,37,45
학생3366,21,82,20,20
학생3367,7,11,57,74
학생3368,23,32,52,99
학생3369,97,87,30,66
학생3370,53,32,23,28
학생3371,14,45,73,30
학생3372,12,52,44,37
학생3373,46,56,39,24
학생3374,70,41,86,93
학생3375,20,88,73,46
학생3376,63,60,55,70
학생3377,21,50,55,88
학생3378,98,90,88,64
학생3379,88,90,62,72
학생3380,92,70,75,85
학생3381,63,60,31,70
학생3382,54,50,23,88
학생3383,64,54,73,83
학생3384,89,36,63,14
학생3385,83,26,81,98
학생3386,18,51,17,6
학생3387,75,38,94,50
학생3388,58,74,56,27
학생3389,52,86,55,51
학생3390,62,24,72,24
학생3391,71,21,21,89
학생3392,95,67,17,86
학생3393,62,71,88,95
학생3394,46,56,39,24
학생3395,70,41,86,93
학생3396,20,88,73,46
학생3397,63,60,55,70
학생3398,21,50,55,88
학생3399,98,90,88,64
학생3400,46,56,39,24
학생3401,70,41,86,93
학생3402,20,88,73,46
학생3403,63,60,55,70
학생3404,21,50,55,88
학생3405,98,90,88,64
학생3406,88,90,62,72
학생3407,92,70,75,85
학생3408,63,60,31,70
학생3409,54,50,23,88
학생3410,64,54,73,83
학생3411,89,36,63,14
학생3412,83,26,81,98
학생3413,18,51,17,6
학생3414,98,,88,64
학생3415,88,90,62,72
학생3416,92,70,,
학생3417,63,60,31,70
학생3418,100,50,,88
학생3419,98,,88,64
학생3420,88,90,62,72
학생3421,92,70,,
학생3422,63,60,31,70
학생3423,100,50,,88
학생3424,56,49,90,44
학생3425,34,28,16,0
학생3426,37,13,9,41
학생3427,14,17,21,77
학생3428,37,20,3,77
학생3429,19,97,28,77
학생3430,57,85,33,84
학생3431,10,21,67,54
학생3432,79,74,14,59
학생3433,96,67,66,48
학생3434,46,25,54,56
학생3435,66,32,77,24
학생3436,46,25,2,12
학생3437,26,10,49,74
학생3438,97,68,65,33
학생3439,86,70,99,45
학생3440,31,62,37,82
학생3441,43,88,11,56
학생3442,6,98,96,74
학생3443,41,75,8,22
학생3444,29,45,94,70
학생3445,83,84,32,91
학생3446,91,1,53,32
학생3447,89,59,10,29
학생3448,84,58,70,25
학생3449,96,95,10,4
학생3450,83,7,64,9
학생3451,67,38,63,26
학생3452,50,72,14,86
학생3453,60,28,49,59
학생3454,71,11,49,62
학생3455,32,63,31,96
학생3456,72,6,73,22
학생3457,29,93,2,85
학생3458,,56,64,24
학생3459,98,,88,64
학생3460,88,90,62,72
학생3461,92,70,,
학생3462,63,60,31,70
학생3463,21,50,,88
학생3464,98,,88,64
학생3465,88,90,62,72
학생3466,92,70,,
학생3467,63,60,31,70
학생3468,54,50,,88
학생3469,64,3,73,83
학생3470,78,58,20,47
학생3471,13,82,57,1
학생3472,4,11,81,76
학생3473,3,25,26,67
학생3474,96,78,1,6
학생3475,78,31,70,91
학생3476,4,63,59,23
학생3477,29,67,49,28
학생3478,93,56,63,55
학생3479,57,65,12,47
학생3480,20,74,56,17
학생3481,6,61,0,20
학생3482,3,11,83,45
학생3483,4,82,88,69
학생3484,62,5,92,67
학생3485,4,12,73,73
학생3486,84,58,70,25
학생3487,96,95,10,4
학생3488,83,7,64,9
학생3489,67,38,63,26
학생3490,50,72,14,86
학생3491,60,28,49,59
학생3492,71,11,49,62
학생3493,32,63,31,96
학생3494,72,6,73,22
학생3495,29,93,2,85
학생3496,,56,64,24
학생3497,98,,88,64
학생3498,88,90,62,72
학생3499,92,70,,
학생3500,63,60,31,70
학생3501,21,50,,88
학생3502,98,,88,64
학생3503,88,90,62,72
학생3504,92,70,,
학생3505,63,60,31,70
학생3506,54,50,,88
학생3507,64,3,73,83
학생3508,83,91,32,99
학생3509,5,55,11,65
학생3510,7,40,10,3
학생3511,55,46,74,35
학생3512,97,70,20,27
학생3513,92,61,42,88
학생3514,16,10,41,55
학생3515,47,33,64,65
학생3516,14,40,90,41
학생3517,3,74,48,49
학생3518,52,64,68,85
학생3519,26,87,93,36
학생3520,30,51,30,62
학생3521,72,44,80,13
학생3522,35,49,30,41
학생3523,52,60,1,14
학생3524,12,65,86,76
학생3525,79,21,11,41
학생3526,13,33,72,92
학생3527,57,68,33,33
